URL,Domain,IP Address,Link Density,External Links Count,Internal Links Count,External IP Count,HTTP Count,HTTPS Count,Non Count,External Iframes Count,Hidden Iframes Count,Country,Organization,Certificate,Certificate Not Before,Certificate Not After,If HTTPS,Whois_country,whois_creation_date,whois_expiration_date,type
http://www.szxinheng.com/Images/?https://secure.runescape.com/m=weblogin/loginform.ws?mod=www&ssl=0&dest,xarxesnetworking.com,170.10.164.124,0.0,0,0,0,0,0,0,0,0,US,Let's Encrypt,R11,Nov  6 23:59:06 2024 GMT,Feb  4 23:59:05 2025 GMT,1,CR,2015-02-23 23:19:03,2025-02-23 23:19:03,phishing
movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/,movies.msn.com,204.79.197.203,0.3666666666666666,10,0,0,0,10,1,0,0,US,Microsoft Corporation,Microsoft Azure RSA TLS Issuing CA 07,Oct  9 22:01:23 2024 GMT,Oct  4 22:01:23 2025 GMT,0,US,"[datetime.datetime(1994, 11, 10, 5, 0), datetime.datetime(1994, 11, 10, 5, 0, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 6, 4, 16, 44, 29), datetime.datetime(2025, 6, 4, 0, 0, tzinfo=datetime.timezone.utc)]",benign
asset.ind.in,asset.ind.in,166.62.28.140,0.0,0,0,0,0,0,0,0,0,Error,Error,Error,Error,Error,0,IN,2013-07-31 11:46:39,2026-07-31 11:46:39,phishing
kermitbuck.com,kermitbuck.com,192.124.249.4,0.0,0,0,0,0,0,0,0,0,US,Arizona,Scottsdale,Aug  9 16:47:38 2024 GMT,Aug  9 16:47:38 2025 GMT,0,US,"[datetime.datetime(2012, 1, 25, 20, 40, 41), datetime.datetime(2012, 1, 25, 15, 40, 41)]","[datetime.datetime(2026, 1, 25, 20, 40, 41), datetime.datetime(2026, 1, 25, 15, 40, 41)]",phishing
familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29,familypedia.wikia.com,151.101.128.194,0.2880324543610548,102,0,0,2,93,44,1,1,US,Let's Encrypt,R11,Oct  2 12:47:05 2024 GMT,Dec 31 12:47:04 2024 GMT,0,,2003-12-09 00:08:32,2026-12-09 00:08:32,benign
ideas.repec.org/f/pma235.html,ideas.repec.org,52.71.237.208,0.0799557848194546,23,380,0,20,383,895,0,0,US,Amazon,Amazon RSA 2048 M02,Sep 24 00:00:00 2024 GMT,Oct 23 23:59:59 2025 GMT,0,US,2000-02-27 15:05:13,2025-02-27 15:05:13,benign
amazonica-ita.com.br,amazonica-ita.com.br,142.93.194.78,0.0058616647127784,1,0,0,0,1,4,1,0,US,Let's Encrypt,R10,Oct  3 06:32:10 2024 GMT,Jan  1 06:32:09 2025 GMT,0,BR,"[datetime.datetime(2007, 3, 30, 0, 0), datetime.datetime(2009, 11, 27, 0, 0), datetime.datetime(2024, 8, 26, 0, 0)]",2026-03-30 00:00:00,phishing
superpages.com/bp/Milford-OH/Cliff-Riley-Insurance-L0125750056.htm,superpages.com,151.138.150.150,0.1390134529147982,6,0,0,0,6,24,0,0,US,DigiCert Inc,DigiCert Global G2 TLS RSA SHA256 2020 CA1,Jan 23 00:00:00 2024 GMT,Jan 22 23:59:59 2025 GMT,0,US,"[datetime.datetime(1996, 1, 31, 5, 0), datetime.datetime(1996, 1, 31, 0, 0)]",2026-02-01 05:00:00,benign
under.nut.cc,under.nut.cc,64.190.63.222,0.0,0,0,0,0,0,0,0,0,US,DigiCert Inc,www.digicert.com,Jun  4 00:00:00 2024 GMT,Jun  3 23:59:59 2025 GMT,0,CN,2019-04-17 08:01:02,2025-04-17 08:01:02,phishing
http://www.seniorpeoplemeetspictures.9hz.com/,basrabrothers.com,103.53.40.33,0.0,0,0,0,0,0,0,0,0,Error,Error,Error,Error,Error,1,IN,2012-06-27 12:17:11,2025-06-27 12:17:11,phishing
